start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(5, 5):(0, 0)|(5, 5):1:0xbfdf3b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,6
"(5, 5):(0, 0)|(5, 5):1:0xbfdf3d","(10, 10):(0, 0)|(10, 10):4:0xc05018180a0f05018180a030",stable,0,5,5,10,10,13
"(5, 5):(0, 0)|(5, 5):1:0xbfdf3e","(1, 3):(0, 0)|(1, 3):0:0x7",oscillator,2,5,5,1,3,17
"(5, 5):(0, 0)|(5, 5):1:0xbfdf4f","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,8
"(5, 5):(0, 0)|(5, 5):1:0xbfdf57","(30, 31):(0, 0)|(30, 31):24:0x30000000d800000230000000600000100000001600000000000000000000030000000e00000300ca00060234000000760000208c00004600000088000000000000012060000180c000000000000000000000000000000000000000000070000000900000040080000821400010830000040",survival,0,5,5,30,31,99
"(5, 5):(0, 0)|(5, 5):1:0xbfdf5b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(5, 5):(0, 0)|(5, 5):1:0xbfdf5d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,5
"(5, 5):(0, 0)|(5, 5):1:0xbfdf6d","(7, 5):(0, 0)|(7, 5):0:0x70010841c",oscillator,2,5,5,7,5,14
"(5, 5):(0, 0)|(5, 5):1:0xbfdf6e","(3, 1):(0, 0)|(3, 1):0:0x7",oscillator,2,5,5,3,1,15
"(5, 5):(0, 0)|(5, 5):1:0xbfdf73","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,7
"(5, 5):(0, 0)|(5, 5):1:0xbfdf75","(7, 3):(0, 0)|(7, 3):0:0x1c0007",oscillator,2,5,5,7,3,15
